entry_id,old_label,old_framework,new_label,new_framework,change_type,change_year,change_summary,clinical_rationale,severity_weight,keywords_for_matching,current_criteria_summary,source_citation,source_type,last_reviewed_date
DSM5-011,(Not applicable - new diagnosis),N/A,Disruptive Mood Dysregulation Disorder,DSM-5,added_new,2013,"New diagnosis added specifically to address overdiagnosis of pediatric bipolar disorder in children with chronic irritability.","Addressed a documented pattern of children being misdiagnosed with bipolar disorder for chronic temper outbursts.",0.7,"pediatric bipolar;childhood bipolar;chronic irritability child","DMDD is diagnosed in children with severe recurrent temper outbursts plus persistently irritable mood, distinct from episodic bipolar mood changes.","American Psychiatric Association, DSM-5 Fact Sheet: Depressive Disorders, 2013",APA_fact_sheet,2025-05-01
DSM5-012,(Not applicable - new diagnosis),N/A,Binge Eating Disorder,DSM-5,added_new,2013,"Elevated from an example under 'Eating Disorder NOS' in DSM-IV to a fully recognized standalone diagnosis.","Recognized as a distinct, prevalent condition requiring its own diagnostic criteria and treatment approach.",0.6,"binge eating;eating disorder nos","Binge Eating Disorder involves recurrent episodes of eating large amounts of food with loss of control, without regular compensatory behaviors, at defined frequency/duration thresholds.","American Psychiatric Association, DSM-5 Fact Sheet: Feeding and Eating Disorders, 2013",APA_fact_sheet,2025-05-01
ICD11-001,PTSD (undifferentiated),ICD-10,PTSD / Complex PTSD,ICD-11,split,2019,"ICD-11 introduced Complex PTSD as a distinct diagnosis from PTSD, capturing effects of prolonged, repeated trauma.","Clinical evidence showed prolonged/repeated trauma (e.g., childhood abuse) produces a distinguishable symptom pattern beyond standard PTSD criteria.",0.8,"ptsd;post traumatic stress disorder","Complex PTSD includes core PTSD symptoms plus disturbances in self-organization: emotional regulation difficulty, negative self-concept, and relationship difficulties.","World Health Organization, ICD-11 for Mortality and Morbidity Statistics, 2019/2022",WHO_ICD11,2025-05-01
ICD11-002,Gender Identity Disorder,ICD-10,Gender Incongruence,ICD-11,reclassified,2019,"Moved out of the 'Mental and Behavioural Disorders' chapter entirely into a new 'Conditions Related to Sexual Health' chapter.","Reflects evidence that gender incongruence itself is not a mental disorder, reducing stigma while retaining access to care coding.",0.75,"gender identity disorder;transsexualism","Gender Incongruence is classified under sexual health, not mental disorders, focused on marked incongruence between experienced gender and assigned sex.","World Health Organization, ICD-11 for Mortality and Morbidity Statistics, 2019/2022",WHO_ICD11,2025-05-01
ICD11-003,(Not applicable - new classification),N/A,Gaming Disorder,ICD-11,added_new,2019,"New behavioral addiction diagnosis added to ICD-11, not present in ICD-10.","Growing clinical and research evidence of impaired control over gaming behavior causing significant functional impairment.",0.5,"gaming addiction;internet gaming disorder","Gaming Disorder involves impaired control over gaming, increasing priority over other activities, and continuation despite negative consequences, for at least 12 months.","World Health Organization, ICD-11 for Mortality and Morbidity Statistics, 2019/2022",WHO_ICD11,2025-05-01
DSM5-013,Bipolar I Disorder Mixed Episode,DSM-IV-TR,Bipolar Disorder with Mixed Features specifier,DSM-5,reclassified,2013,"The standalone 'Mixed Episode' category was removed; 'mixed features' is now a specifier that can be applied to manic, hypomanic, or depressive episodes.","Allowed more flexible and accurate description of patients showing overlapping manic and depressive symptoms rather than forcing a rigid separate category.",0.8,"mixed episode;bipolar mixed","Mixed features specifier applies when a manic, hypomanic, or major depressive episode includes at least three symptoms of the opposite pole.","American Psychiatric Association, DSM-5 Fact Sheet: Bipolar and Related Disorders, 2013",APA_fact_sheet,2025-05-01
DSM5-014,Dysthymic Disorder,DSM-IV-TR,Persistent Depressive Disorder,DSM-5,merged,2013,"Dysthymic Disorder and chronic Major Depressive Disorder were merged into a single diagnosis: Persistent Depressive Disorder.","Research did not support meaningful clinical distinction between chronic MDD and dysthymia; merging simplified diagnosis of chronic depressive presentations.",0.75,"dysthymia;dysthymic disorder;chronic depression","Persistent Depressive Disorder is diagnosed when depressed mood persists for at least two years, with specifiers indicating severity and course.","American Psychiatric Association, DSM-5 Fact Sheet: Depressive Disorders, 2013",APA_fact_sheet,2025-05-01
DSM5-015,Reactive Attachment Disorder (single type),DSM-IV-TR,Reactive Attachment Disorder / Disinhibited Social Engagement Disorder,DSM-5,split,2013,"The single Reactive Attachment Disorder category was split into two distinct diagnoses based on differing symptom presentations.","Evidence showed the inhibited and disinhibited presentations of early attachment disruption have different courses and needed separate diagnostic criteria.",0.7,"reactive attachment disorder;rad","RAD involves inhibited, emotionally withdrawn behavior toward caregivers; DSED involves indiscriminate, overly familiar behavior toward unfamiliar adults.","American Psychiatric Association, DSM-5 Fact Sheet: Trauma- and Stressor-Related Disorders, 2013",APA_fact_sheet,2025-05-01
DSM5-016,Rett's Disorder,DSM-IV-TR,Removed from DSM (diagnosed via genetic testing),DSM-5,eliminated,2013,"Rett's Disorder was removed from the diagnostic manual entirely, as it is now understood to have a known genetic cause (MECP2 gene mutation) and is diagnosed medically, not psychiatrically.","Advances in genetic testing made a behavioral/psychiatric diagnostic category unnecessary and clinically inaccurate.",0.6,"rett's disorder;rett syndrome","No longer a psychiatric diagnosis; identified via genetic testing for MECP2 gene mutation.","American Psychiatric Association, DSM-5 Fact Sheet: Autism Spectrum Disorder, 2013",APA_fact_sheet,2025-05-01
DSM5-017,Pain Disorder,DSM-IV-TR,Somatic Symptom Disorder,DSM-5,merged,2013,"Pain Disorder was folded into the broader Somatic Symptom Disorder category rather than remaining a standalone diagnosis.","Consolidation reflected evidence that pain-predominant somatic presentations did not warrant a separate diagnostic category from other somatic symptom presentations.",0.65,"pain disorder","Somatic Symptom Disorder involves one or more distressing somatic symptoms (which may include pain) with excessive thoughts, feelings, or behaviors related to the symptoms.","American Psychiatric Association, DSM-5 Fact Sheet: Somatic Symptom Disorders, 2013",APA_fact_sheet,2025-05-01
DSM5-018,Obsessive-Compulsive Disorder,DSM-IV-TR,Obsessive-Compulsive Disorder,DSM-5,reclassified,2013,"Moved out of Anxiety Disorders into its own chapter 'Obsessive-Compulsive and Related Disorders'.","Recognized unique neurobiological and phenomenological features distinct from typical anxiety disorders.",0.7,"ocd;obsessive compulsive","Diagnosis requires presence of obsessions, compulsions, or both, that are time-consuming or cause clinically significant distress.","American Psychiatric Association, DSM-5, 2013",APA_fact_sheet,2025-05-01
DSM5-019,Posttraumatic Stress Disorder,DSM-IV-TR,Posttraumatic Stress Disorder,DSM-5,reclassified,2013,"Moved out of Anxiety Disorders into a new 'Trauma and Stressor-Related Disorders' chapter.","Recognized that PTSD involves prominent anhedonic, dysphoric, and externalizing symptoms, not just anxiety.",0.7,"ptsd;post traumatic","Exposure to trauma with intrusion, avoidance, negative alterations in cognitions/mood, and arousal/reactivity symptoms.","American Psychiatric Association, DSM-5, 2013",APA_fact_sheet,2025-05-01
DSM5-020,Acute Stress Disorder,DSM-IV-TR,Acute Stress Disorder,DSM-5,criteria_modified,2013,"Criteria expanded to require 9 of 14 symptoms from any category, rather than symptoms from specific clusters.","Improved diagnostic accuracy by recognizing that acute trauma reactions are highly variable across individuals.",0.8,"acute stress disorder;asd","Diagnosis requires 9 or more symptoms from any of the five categories (intrusion, negative mood, dissociation, avoidance, arousal).","American Psychiatric Association, DSM-5, 2013",APA_fact_sheet,2025-05-01
DSM5-021,Somatization Disorder,DSM-IV-TR,Somatic Symptom Disorder,DSM-5,merged,2013,"Somatization Disorder was merged into Somatic Symptom Disorder, requiring distress/impairment rather than specific symptom counts.","The previous symptom counting was overly complex and unreliable; focus shifted to the distress caused by symptoms.",0.8,"somatization;somatic symptom","One or more somatic symptoms causing distress/impairment, with excessive thoughts, feelings, or behaviors related to them.","American Psychiatric Association, DSM-5, 2013",APA_fact_sheet,2025-05-01
DSM5-022,Conversion Disorder,DSM-IV-TR,Functional Neurological Symptom Disorder,DSM-5,renamed,2013,"Renamed to Functional Neurological Symptom Disorder to better reflect clinical understanding and reduce stigma.","The term 'conversion' implied a specific psychoanalytic mechanism lacking empirical support in all cases.",0.6,"conversion disorder;functional neurological","One or more symptoms of altered voluntary motor or sensory function with evidence of incompatibility with recognized neurological conditions.","American Psychiatric Association, DSM-5, 2013",APA_fact_sheet,2025-05-01
DSM5-023,Dementia,DSM-IV-TR,Major Neurocognitive Disorder,DSM-5,renamed,2013,"Dementia renamed to Major Neurocognitive Disorder.","Reduced stigma associated with the term 'dementia' and better encompasses conditions affecting younger individuals.",0.6,"dementia;major neurocognitive","Evidence of significant cognitive decline from a previous level of performance that interferes with independence in everyday activities.","American Psychiatric Association, DSM-5, 2013",APA_fact_sheet,2025-05-01
DSM5-024,Mild Cognitive Impairment,DSM-IV-TR,Minor Neurocognitive Disorder,DSM-5,added_new,2013,"Formalized as Minor Neurocognitive Disorder for cognitive decline that doesn't significantly impair independence.","Allowed for earlier clinical identification and intervention for cognitive decline before it reaches the threshold of major impairment.",0.7,"mild cognitive impairment;mci;minor neurocognitive","Evidence of modest cognitive decline that does not interfere with capacity for independence in everyday activities.","American Psychiatric Association, DSM-5, 2013",APA_fact_sheet,2025-05-01
DSM5-025,(Not applicable - new diagnosis),N/A,Hoarding Disorder,DSM-5,added_new,2013,"Added as a new standalone diagnosis, previously considered a subtype or symptom of OCD.","Evidence showed hoarding has distinct neurobiology, clinical presentation, and treatment response compared to OCD.",0.6,"hoarding","Persistent difficulty discarding or parting with possessions, regardless of actual value, resulting in accumulation that congests living areas.","American Psychiatric Association, DSM-5, 2013",APA_fact_sheet,2025-05-01
DSM5-026,(Not applicable - new diagnosis),N/A,Excoriation (Skin-Picking) Disorder,DSM-5,added_new,2013,"Added as a new diagnosis under Obsessive-Compulsive and Related Disorders.","Recognized as a distinct, prevalent condition causing significant distress and requiring specific treatment.",0.6,"excoriation;skin picking;dermatillomania","Recurrent skin picking resulting in skin lesions, with repeated attempts to decrease or stop the behavior.","American Psychiatric Association, DSM-5, 2013",APA_fact_sheet,2025-05-01
DSM5-027,Trichotillomania,DSM-IV-TR,Trichotillomania (Hair-Pulling Disorder),DSM-5,reclassified,2013,"Moved from Impulse Control Disorders to Obsessive-Compulsive and Related Disorders.","Better aligns with conditions that share similar phenomenological features and treatment approaches.",0.7,"trichotillomania;hair pulling","Recurrent pulling out of one's hair resulting in hair loss, with repeated attempts to decrease or stop the behavior.","American Psychiatric Association, DSM-5, 2013",APA_fact_sheet,2025-05-01
DSM5-028,Attention-Deficit/Hyperactivity Disorder,DSM-IV-TR,Attention-Deficit/Hyperactivity Disorder,DSM-5,criteria_modified,2013,"Age of onset criterion extended from before age 7 to before age 12.","Extensive research found no clinical difference between those with onset before 7 versus before 12, improving diagnosis for later-presenting cases.",0.8,"adhd;add;attention deficit","Persistent pattern of inattention and/or hyperactivity-impulsivity interfering with functioning, with several symptoms present prior to age 12.","American Psychiatric Association, DSM-5, 2013",APA_fact_sheet,2025-05-01
DSM5-029,Reading Disorder / Mathematics Disorder,DSM-IV-TR,Specific Learning Disorder,DSM-5,merged,2013,"Replaced specific reading, math, and written expression disorders with a single overarching Specific Learning Disorder diagnosis with specifiers.","Simplified diagnosis as these deficits frequently co-occur and share underlying cognitive vulnerabilities.",0.8,"learning disorder;reading disorder;dyslexia;dyscalculia","Difficulties learning and using academic skills persisting for at least 6 months despite provision of interventions.","American Psychiatric Association, DSM-5, 2013",APA_fact_sheet,2025-05-01
DSM5TR-001,(Not applicable - new diagnosis),N/A,Prolonged Grief Disorder,DSM-5-TR,added_new,2022,"Added as a brand new diagnosis for persistent, impairing grief lasting longer than a year for adults (6 months for children).","Recognized that a subset of individuals experience severe, intractable grief requiring specific clinical intervention.",0.7,"prolonged grief;complicated grief","Persistent and pervasive grief response characterized by intense longing or preoccupation with the deceased, lasting >12 months (adults).","American Psychiatric Association, DSM-5-TR, 2022",APA_fact_sheet,2025-05-01
DSM5TR-002,Unspecified Mood Disorder,DSM-IV-TR,Unspecified Mood Disorder,DSM-5-TR,added_new,2022,"Reintroduced into the DSM-5-TR after being removed in DSM-5.","Restored to allow classification of mood presentations that do not meet full criteria for any specific bipolar or depressive disorder.",0.8,"unspecified mood","Used when symptoms characteristic of a mood disorder cause distress but do not meet full criteria for any specific diagnostic class.","American Psychiatric Association, DSM-5-TR, 2022",APA_fact_sheet,2025-05-01
DSM5TR-003,(Not applicable - new diagnosis),N/A,Stimulant-induced mild neurocognitive disorder,DSM-5-TR,added_new,2022,"Added as a new specific diagnosis.","Acknowledges the potential cognitive impacts of chronic stimulant use.",0.7,"stimulant induced;mild neurocognitive","Mild neurocognitive impairment specifically attributed to the effects of stimulant use.","American Psychiatric Association, DSM-5-TR, 2022",APA_fact_sheet,2025-05-01
DSM5TR-004,Autism Spectrum Disorder,DSM-5,Autism Spectrum Disorder,DSM-5-TR,criteria_modified,2022,"Updated specifiers and support level descriptors for increased clarity.","Refined language to improve clinical utility and diagnostic precision without changing core criteria.",0.9,"autism;asd","Updated descriptors for 'requiring support', 'requiring substantial support', and 'requiring very substantial support'.","American Psychiatric Association, DSM-5-TR, 2022",APA_fact_sheet,2025-05-01
ICD11-004,Neurasthenia / Fatigue,ICD-10,Asthenia,ICD-11,reclassified,2022,"Reclassified and updated conceptualization of fatigue syndromes.","Modernized terminology and criteria reflecting updated clinical consensus.",0.7,"asthenia;fatigue;neurasthenia","Characterized by profound fatigue, post-exertional malaise, and unrefreshing sleep.","World Health Organization, ICD-11, 2022",WHO_ICD11,2025-05-01
ICD11-005,(Not applicable - new diagnosis),N/A,Compulsive Sexual Behaviour Disorder,ICD-11,added_new,2022,"Added as a new diagnosis under Impulse Control Disorders.","Recognized the clinical reality of persistent inability to control intense sexual impulses causing marked distress.",0.6,"compulsive sexual;hypersexuality","Persistent pattern of failure to control intense sexual impulses or urges resulting in repetitive sexual behaviour over an extended period.","World Health Organization, ICD-11, 2022",WHO_ICD11,2025-05-01
ICD11-006,Somatoform Disorders,ICD-10,Bodily Distress Disorder,ICD-11,renamed,2022,"Replaced the entire Somatoform Disorders block with Bodily Distress Disorder.","Shifted focus away from 'medically unexplained' to the presence of distressing bodily symptoms and disproportionate attention to them.",0.8,"somatoform;bodily distress","Presence of bodily symptoms that are distressing to the individual, accompanied by excessive attention directed toward the symptoms.","World Health Organization, ICD-11, 2022",WHO_ICD11,2025-05-01
ICD11-007,Personality Disorders (categorical),ICD-10,Personality Disorder (dimensional),ICD-11,criteria_modified,2022,"Completely restructured from categorical models (e.g., borderline, narcissistic) to a single dimensional model based on severity and trait domains.","Categorical models lacked validity and reliability; dimensional models better capture the spectrum of personality dysfunction.",0.9,"personality disorder;borderline;narcissistic","Diagnosed based on global severity of personality dysfunction (mild, moderate, severe) and five prominent trait domains (e.g., negative affectivity).","World Health Organization, ICD-11, 2022",WHO_ICD11,2025-05-01
ICD11-008,Depressive Episode,ICD-10,Depressive Episode,ICD-11,criteria_modified,2022,"Severity specifiers updated and simplified compared to ICD-10.","Improved global applicability and clinical utility of depressive episode severity ratings.",0.8,"depressive episode;depression","Characterized by depressed mood or loss of interest, with severity determined by the number and intensity of symptoms and functional impairment.","World Health Organization, ICD-11, 2022",WHO_ICD11,2025-05-01
ICD11-009,Burnout,ICD-10,Burnout,ICD-11,reclassified,2022,"Redefined strictly as an occupational phenomenon, explicitly stating it is NOT classified as a medical condition.","Clarified that burnout is related specifically to workplace stress that has not been successfully managed.",0.8,"burnout;occupational stress","Syndrome conceptualized as resulting from chronic workplace stress, characterized by exhaustion, increased mental distance from job, and reduced professional efficacy.","World Health Organization, ICD-11, 2022",WHO_ICD11,2025-05-01
