entry_id,old_label,old_framework,new_label,new_framework,change_type,change_year,change_summary,clinical_rationale,severity_weight,keywords_for_matching,current_criteria_summary,source_citation,source_type,last_reviewed_date
DSM5-011,N/A,N/A,Disruptive Mood Dysregulation Disorder,DSM-5,added_new,2013,"New diagnosis added specifically to address overdiagnosis of pediatric bipolar disorder in children with chronic irritability.","Addressed a documented pattern of children being misdiagnosed with bipolar disorder for chronic temper outbursts.",0.7,"pediatric bipolar;childhood bipolar;chronic irritability child","DMDD is diagnosed in children with severe recurrent temper outbursts plus persistently irritable mood, distinct from episodic bipolar mood changes.","American Psychiatric Association, DSM-5 Fact Sheet: Depressive Disorders, 2013",APA_fact_sheet,2025-05-01
DSM5-012,N/A,N/A,Binge Eating Disorder,DSM-5,added_new,2013,"Elevated from an example under 'Eating Disorder NOS' in DSM-IV to a fully recognized standalone diagnosis.","Recognized as a distinct, prevalent condition requiring its own diagnostic criteria and treatment approach.",0.6,"binge eating;eating disorder nos","Binge Eating Disorder involves recurrent episodes of eating large amounts of food with loss of control, without regular compensatory behaviors, at defined frequency/duration thresholds.","American Psychiatric Association, DSM-5 Fact Sheet: Feeding and Eating Disorders, 2013",APA_fact_sheet,2025-05-01
ICD11-001,PTSD (undifferentiated),ICD-10,PTSD / Complex PTSD,ICD-11,split,2019,"ICD-11 introduced Complex PTSD as a distinct diagnosis from PTSD, capturing effects of prolonged, repeated trauma.","Clinical evidence showed prolonged/repeated trauma (e.g., childhood abuse) produces a distinguishable symptom pattern beyond standard PTSD criteria.",0.8,"ptsd;post traumatic stress disorder","Complex PTSD includes core PTSD symptoms plus disturbances in self-organization: emotional regulation difficulty, negative self-concept, and relationship difficulties.","World Health Organization, ICD-11 for Mortality and Morbidity Statistics, 2019/2022",WHO_ICD11,2025-05-01
ICD11-002,Gender Identity Disorder,ICD-10,Gender Incongruence,ICD-11,reclassified,2019,"Moved out of the 'Mental and Behavioural Disorders' chapter entirely into a new 'Conditions Related to Sexual Health' chapter.","Reflects evidence that gender incongruence itself is not a mental disorder, reducing stigma while retaining access to care coding.",0.75,"gender identity disorder;transsexualism","Gender Incongruence is classified under sexual health, not mental disorders, focused on marked incongruence between experienced gender and assigned sex.","World Health Organization, ICD-11 for Mortality and Morbidity Statistics, 2019/2022",WHO_ICD11,2025-05-01
ICD11-003,N/A,N/A,Gaming Disorder,ICD-11,added_new,2019,"New behavioral addiction diagnosis added to ICD-11, not present in ICD-10.","Growing clinical and research evidence of impaired control over gaming behavior causing significant functional impairment.",0.5,"gaming addiction;internet gaming disorder","Gaming Disorder involves impaired control over gaming, increasing priority over other activities, and continuation despite negative consequences, for at least 12 months.","World Health Organization, ICD-11 for Mortality and Morbidity Statistics, 2019/2022",WHO_ICD11,2025-05-01
DSM5-013,Attention-Deficit Disorder (ADD),DSM-III/IV,Attention-Deficit/Hyperactivity Disorder (ADHD) - Predominantly Inattentive Presentation,DSM-5,reclassified,2013,"The term 'ADD' was officially retired; it is now classified as a specific presentation type under the broader ADHD diagnosis.","Research showed that inattention and hyperactivity/impulsivity are dimensions of the same underlying spectrum, not entirely separate disorders.",0.6,"add;attention deficit disorder","ADHD is diagnosed via a persistent pattern of inattention and/or hyperactivity-impulsivity that interferes with functioning, specified by presentation type.","American Psychiatric Association, DSM-5 Fact Sheet: ADHD, 2013",APA_fact_sheet,2025-05-01
DSM5-014,Social Phobia,DSM-IV-TR,Social Anxiety Disorder,DSM-5,renamed,2013,"Renamed to Social Anxiety Disorder to reflect that the condition is broader and more functionally impairing than a simple 'phobia'.","The term 'phobia' minimized the severe, pervasive impact this anxiety has on a person's entire social and professional life.",0.5,"social phobia;social phobias","Social Anxiety Disorder involves marked fear or anxiety about one or more social situations where the individual is exposed to possible scrutiny by others.","American Psychiatric Association, DSM-5 Fact Sheet: Anxiety Disorders, 2013",APA_fact_sheet,2025-05-01
DSM5-015,Dementia,DSM-IV-TR,Major Neurocognitive Disorder,DSM-5,renamed,2013,"The term 'Dementia' was replaced with 'Major Neurocognitive Disorder' to reduce stigma and focus on the specific brain pathology.","'Dementia' carries severe negative stigma and was often incorrectly used as a catch-all; the new term requires specifying the exact cause (e.g., Alzheimer's, Traumatic Brain Injury).",0.7,"dementia;senile dementia","Major Neurocognitive Disorder is diagnosed by evidence of significant cognitive decline from a previous level of performance in one or more cognitive domains.","American Psychiatric Association, DSM-5 Fact Sheet: Neurocognitive Disorders, 2013",APA_fact_sheet,2025-05-01
ICD11-004,Burnout,ICD-10,Burnout (Occupational Phenomenon),ICD-11,reclassified,2019,"Burnout was specifically upgraded and detailed as an 'occupational phenomenon' rather than a medical condition or generic stress.","Clarified that burnout specifically refers to chronic workplace stress that has not been successfully managed, preventing it from being misdiagnosed as generalized depression.",0.6,"burnout;occupational burnout;job burnout","Burnout is a syndrome conceptualized as resulting from chronic workplace stress, characterized by exhaustion, increased mental distance from one's job, and reduced professional efficacy.","World Health Organization, ICD-11 for Mortality and Morbidity Statistics, 2019/2022",WHO_ICD11,2025-05-01
DSM5-020,Major Depressive Disorder (without mixed features),DSM-IV-TR,Bipolar II Disorder / MDD with Mixed Features,DSM-5,criteria_modified,2013,"Added 'with mixed features' specifier to MDD and clarified criteria separating unipolar depression from Bipolar II.","Over 60% of bipolar patients are initially misdiagnosed with unipolar depression; updating criteria for subthreshold hypomanic symptoms helps identify bipolarity earlier.",0.85,"unipolar depression;major depressive disorder;clinical depression;depressive episode","Bipolar II and MDD with mixed features require evaluating past or current hypomanic symptoms (decreased need for sleep, racing thoughts, rapid speech) alongside depressive episodes.","American Psychiatric Association, DSM-5 Fact Sheet: Mood Disorders, 2013",APA_fact_sheet,2025-05-01
